data,dim,accuracy,precision_score,recall_score,f1_score
data_1,2D,0.9642857142857143,0.0,0.0,0.0
data_1,3D,0.9642857142857143,0.0,0.0,0.0
data_2,2D,0.9972718367174964,0.0,0.0,0.0
data_2,3D,0.9973069482140537,0.017543859649122806,0.01016260162601626,0.01287001287001287
data_3,2D,0.9700920245398773,0.0,0.0,0.0
data_3,3D,0.9700920245398773,0.0,0.0,0.0
