component 0,component 1,component 2,class
1.8107422772448736,3.1988656787733483,0.8648201262695372,0.0
1.9424896512383745,3.0059134607268434,0.4717485924411361,0.0
2.0292090932475175,2.8021722037769092,0.2332532533521673,0.0
2.4133302966062087,2.505757644924934,-0.26741598201755995,0.0
2.1402422974377537,2.0053294913207003,-1.0204081759926606,0.0
1.93929191678281,1.4376648890520383,-1.4310357696744636,0.0
2.5139220188111158,1.3673490548063731,-1.4792602897497868,0.0
2.5164550917995476,0.8906113005732901,-1.639061160110848,0.0
2.7454279013499807,0.6187671861152967,-1.520956511423064,0.0
2.605865749784462,0.03849559447206267,-1.5191364051190042,0.0
2.74825441718852,-0.5949023493192374,-1.091778420779568,0.0
3.1327644288737657,-0.9972376471405506,-0.40502506619175327,0.0
3.434722689586599,-1.3255940720345034,0.4845966464277475,0.0
3.4982101911144907,-1.4846455999390602,1.2033252852005265,0.0
3.3850585568656912,-1.5934335836222733,1.8097430662944216,0.0
3.26561253616224,-1.651176567818695,2.2872005869993295,0.0
3.24319279302947,-1.7218071674797646,2.4712228245760652,0.0
1.2458139482079347,3.546394142065371,1.559025028297115,0.0
1.113908236236947,3.383102281097965,1.3113407077746557,0.0
1.2598715913808087,3.1785051956548127,0.7790684717812222,0.0
1.0619924236753093,2.795563654887404,0.13200815501821853,0.0
1.344479313140941,2.114499649663731,-0.3795898067664101,0.0
1.415511607225472,1.85441580151303,-0.6293033644669126,0.0
1.5190771386968223,1.7986891101872693,-0.6196619508339749,0.0
1.5980209960423,1.2953974218629558,-1.2597595220806017,0.0
1.344102018305843,1.1230024124959135,-1.9361367931398359,0.0
1.2574107621427804,0.492224413184666,-2.1288142463431,0.0
1.4725497071507798,0.5145926628094726,-0.9531571512850431,0.0
2.09539760243243,-0.28892956392100977,0.26662660340655586,0.0
2.02432695795721,-1.0557568612847543,0.1094456413948388,0.0
2.2562470176529055,-0.8886261891804563,0.44488795042863943,0.0
2.075479966942827,-1.125442369188795,0.8109091847604035,0.0
2.402513941922915,-1.5567965865823885,1.0613703921151127,0.0
2.819793677865663,3.0715745189982084,0.79142857391742,0.0
2.634820253058742,2.736759438966246,0.2581719829227348,0.0
2.0137846687897833,2.449656298704613,-0.20643871524139099,0.0
2.3157354892742728,2.97237073310324,-0.05858529199192043,0.0
2.484753516607232,2.84755307203343,0.11541954884184517,0.0
2.373633551943709,2.323834648658533,-0.5274159307269746,0.0
2.0480943308952577,1.6854528475538033,-0.8307076515112362,0.0
1.9131466520938598,1.5349870225843034,-0.7641887434116644,0.0
1.9800101242902908,1.185979238100879,-1.1442001876705663,0.0
2.243876772158158,0.7749475853872976,-1.2715770812674234,0.0
1.959808635750396,0.278137467400421,-1.03730848559931,0.0
2.3608098721625264,-0.28014629346793696,-0.9313858218013729,0.0
2.332682822532418,-1.1540394431424508,-0.5382427553250708,0.0
2.8088078182120046,-0.9324133050307072,0.7656514080702875,0.0
2.9676573098568526,-1.141132391793418,1.6211439682167343,0.0
3.0815580930346425,-1.4492622903886745,2.2479127284352507,0.0
1.5581526916870463,2.9112136940655065,1.3744782481036615,0.0
0.9342775838130918,2.630758599095244,1.0384811886300285,0.0
0.5768319422051619,2.774129274284392,0.6384734989362352,0.0
0.9749776006927968,3.034769219937814,0.13129992882213973,0.0
1.411707480132182,2.785149313243144,0.034967391115137476,0.0
1.693001735468219,2.565645488191292,-0.0049810334982522955,0.0
2.0379288123706356,1.5454070676646647,0.1543056464933112,0.0
1.7204604981224243,1.1905278683806595,-0.3386184690104105,0.0
1.673212542563166,1.4319562933449979,-1.0887036530873306,0.0
1.4150994178561764,1.0236044525719115,-1.2769132503346006,0.0
1.1536675679267716,0.7072434822779301,-1.0365412586180467,0.0
1.1733974283921758,0.4308834160256515,-0.12622945491867787,0.0
