data,dim,accuracy,precision_score,recall_score,f1_score
data_1,2D,0.9402472527472527,0.10638297872340426,0.1,0.10309278350515465
data_1,3D,0.9333791208791209,0.02040816326530612,0.02,0.0202020202020202
data_2,2D,0.9855832195135653,0.000552791597567717,0.0040650406504065045,0.00097323600973236
data_2,3D,0.9778235787743981,0.005434782608695652,0.06504065040650407,0.010031347962382446
data_3,2D,0.9578220858895705,0.0,0.0,0.0
data_3,3D,0.9547546012269938,0.022222222222222223,0.013333333333333334,0.01666666666666667
