data,accuracy,precision_score,recall_score,f1_score
data_1,0.967032967032967,0.6666666666666666,0.08,0.14285714285714285
data_2,0.9059889679677817,0.004374882142183669,0.23577235772357724,0.008590365460806458
data_3,0.9658742331288344,0.0,0.0,0.0
